time,total_bandwidth_usage,cpu,bw,n_users,qos
2024-05-18 11:03:01.874000128,12.69,2000.0,15.0,5.0,2.538
2024-05-18 11:03:02.874000128,11.48,2000.0,15.0,5.0,2.2960000000000003
2024-05-18 11:04:13.874000128,16.87,2000.0,25.0,5.0,3.374
2024-05-18 11:04:14.874000128,15.93,2000.0,25.0,5.0,3.186
2024-05-18 11:04:15.874000128,15.91,2000.0,25.0,5.0,3.182
2024-05-18 11:04:16.874000128,16.77,2000.0,25.0,5.0,3.354
2024-05-18 11:04:17.874000128,16.39,2000.0,25.0,5.0,3.278
2024-05-18 11:04:18.874000128,16.76,2000.0,25.0,5.0,3.3520000000000003
2024-05-18 11:04:19.874000128,15.55,2000.0,25.0,5.0,3.1100000000000003
2024-05-18 11:04:20.874000128,16.0,2000.0,25.0,5.0,3.2
2024-05-18 11:04:21.874000128,17.62,2000.0,25.0,5.0,3.524
2024-05-18 11:04:22.874000128,17.22,2000.0,25.0,5.0,3.444
2024-05-18 11:04:23.874000128,17.74,2000.0,25.0,5.0,3.5479999999999996
2024-05-18 11:04:24.874000128,17.74,2000.0,25.0,5.0,3.5479999999999996
2024-05-18 11:04:25.874000128,17.26,2000.0,25.0,5.0,3.4520000000000004
2024-05-18 11:04:26.874000128,17.26,2000.0,25.0,5.0,3.4520000000000004
2024-05-18 11:04:27.874000128,16.71,2000.0,25.0,5.0,3.342
2024-05-18 11:04:28.874000128,16.71,2000.0,25.0,5.0,3.342
2024-05-18 11:04:29.874000128,17.37,2000.0,25.0,5.0,3.474
2024-05-18 11:04:30.874000128,17.37,2000.0,25.0,5.0,3.474
2024-05-18 11:04:31.874000128,16.92,2000.0,25.0,5.0,3.3840000000000003
2024-05-18 11:04:32.874000128,16.75,2000.0,25.0,5.0,3.35
2024-05-18 11:04:33.874000128,17.89,2000.0,25.0,5.0,3.5780000000000003
2024-05-18 11:04:34.874000128,17.21,2000.0,25.0,5.0,3.442
2024-05-18 11:04:35.874000128,16.48,2000.0,25.0,5.0,3.2960000000000003
2024-05-18 11:04:36.874000128,14.35,2000.0,25.0,5.0,2.87
2024-05-18 11:04:37.874000128,12.64,2000.0,25.0,5.0,2.528
